date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,286082.3720283962
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,295430.8547365504
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,301108.82060051116
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,315717.3180534696
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,330980.3891091246
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,336795.06855328486
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,330623.3843907475
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,330301.35887101584
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,294871.00828043406
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,348710.3432681888
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,340345.37064649764
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,320967.09647640074
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,248655.52604976582
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,275143.6617417505
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,338047.50336566527
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,334670.04431153915
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,338273.27034202166
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,349265.1626330293
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,347637.7010603975
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,355134.8660661269
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,342182.63846744364
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,342351.00082298
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,328813.9375533993
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,320113.43514915346
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,296187.4826259228
2002-06-25 00:00:00,1.41293,1.22616,624,1016,2439,775,297978.0721317327
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,291017.1977281009
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,292655.854875513
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,275456.04145786294
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,273597.7597769028
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,267502.0162878471
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,253897.82194329638
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,238833.19243747118
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,191661.14830704764
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,176611.71468332014
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,174255.91772262222
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,172807.78566510713
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,166515.35012821245
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122,124,441,322,165620.645048693
2002-10-01 00:00:00,0.397421,0.4915069999999999,109,91,318,310,158350.70773093228
2002-10-08 00:00:00,0.448002,0.604341,137,141,441,308,166249.58190108306
2002-10-15 00:00:00,0.474767,0.524478,98,98,365,301,162498.3262444062
