date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,164868.87927050854
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,167371.58758486027
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,172689.59014260038
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,183588.82231687097
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,196128.77147855132
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,202010.87180455212
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,197733.684414496
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,198381.00284650704
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,173318.33592781855
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,216399.74973648693
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,210783.6439699257
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,195076.44321045338
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,143066.14796321062
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,160404.8165603199
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,207621.69724725897
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,208234.83482760598
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,213380.85564320075
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,223516.18015921817
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,222177.01350570066
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,229839.0314454473
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,220426.33568214395
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,221384.85121951243
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,211966.99660042752
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,206763.44243470006
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,188215.47423839613
2002-06-25 00:00:00,1.41293,1.22616,624,1016,2439,775,189943.75002245075
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,185830.56731517712
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,189294.2116820312
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,176000.5403127806
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,175487.38392643075
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,171404.13656388412
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,161489.3341273185
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,151094.23647989507
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,113434.94022686257
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,103971.26410791295
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,103238.86393481845
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,101381.71446922464
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,97136.66787055026
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122,124,441,322,96691.9712089286
2002-10-01 00:00:00,0.397421,0.4915069999999999,109,91,318,310,91338.24706894622
2002-10-08 00:00:00,0.448002,0.604341,137,141,441,308,101405.84739893264
2002-10-15 00:00:00,0.474767,0.524478,98,98,365,301,98502.08848073227
2002-10-22 00:00:00,0.453251,0.590692,112,139,420,302,100513.50754571252
2002-10-29 00:00:00,0.3521579999999999,0.505135,100,120,361,290,101410.86262825601
2002-11-05 00:00:00,0.5253220000000001,0.634271,136,125,443,295,97836.99969902568
2002-11-12 00:00:00,0.492991,0.610118,120,131,421,283,99963.67155977729
2002-11-19 00:00:00,0.542728,0.641227,159,144,450,277,100664.30469374033
2002-11-26 00:00:00,0.490347,0.661429,166,155,463,276,101094.30286813434
2002-12-03 00:00:00,0.7359140000000001,0.7926810000000001,177,182,519,271,97093.63987956604
2002-12-10 00:00:00,0.581771,0.639059,145,184,475,267,103885.0333607302
2002-12-17 00:00:00,0.654162,0.636732,136,183,461,264,101681.55192008149
2002-12-24 00:00:00,0.749504,0.747829,135,221,533,268,100822.44989058872
2002-12-31 00:00:00,0.884021,0.960873,808,881,2442,830,255632.80933235143
2003-01-07 00:00:00,1.02773,1.04325,913,1132,2932,931,262207.43291514023
2003-01-14 00:00:00,1.28296,1.0545,878,1147,3031,974,267306.7627246072
2003-01-21 00:00:00,1.32661,1.11231,1006,1369,3475,1007,287248.2108815813
2003-01-28 00:00:00,1.7730400000000002,1.41274,1207,2080,4690,1074,303742.69104835496
2003-02-04 00:00:00,2.43814,1.7270299999999998,1542,2735,5790,1111,306271.68162928836
2003-02-11 00:00:00,2.72605,2.407,2185,4133,8385,1141,320187.0227261203
2003-02-18 00:00:00,3.73192,3.10962,2561,5684,11141,1129,330566.94352162303
2003-02-25 00:00:00,4.54894,4.30779,3247,4933,11742,1118,259812.2053751396
2003-03-04 00:00:00,5.39906,4.8303,4734,7817,18948,1189,363883.42195495556
2003-03-11 00:00:00,7.38735,6.42905,6620,11550,24962,1173,362788.27550615725
2003-03-18 00:00:00,7.48097,6.86734,6434,9851,23699,1148,322507.44051588775
2003-03-25 00:00:00,7.627969999999999,7.064960000000001,5336,5231,16415,1122,228549.26332804514
2003-04-01 00:00:00,5.14051,4.55115,3391,2894,11332,1139,241675.90117806566
2003-04-08 00:00:00,2.89129,2.41833,1930,2299,7602,1160,290378.234599255
2003-04-15 00:00:00,2.10429,1.80906,1679,1857,5583,1141,284040.0928469943
2003-04-22 00:00:00,1.88696,1.71202,1721,1604,4961,1084,267307.88896381145
2003-04-29 00:00:00,1.7766,1.5425,1487,1543,4436,1071,261715.5181830679
2003-05-06 00:00:00,1.46001,1.43787,1454,1448,4251,1054,269821.42799630866
2003-05-13 00:00:00,1.3778700000000002,1.32427,1420,1297,3824,986,261894.55796314607
2003-05-20 00:00:00,1.30532,1.30726,1301,1255,3691,1004,259214.8948539493
2003-05-27 00:00:00,1.08691,1.03698,956,1038,2916,948,258090.2163011744
2003-06-03 00:00:00,0.991888,1.01032,925,910,2744,894,251507.88411804754
2003-06-10 00:00:00,1.02765,1.05249,878,888,2708,897,239800.19266391927
2003-06-17 00:00:00,1.0579,1.02009,730,826,2487,849,231485.64758342557
2003-06-24 00:00:00,0.849361,0.924419,760,733,2300,859,237305.12603760036
2003-07-01 00:00:00,0.7471270000000001,0.7906449999999999,610,611,1858,828,225595.29486870716
2003-07-08 00:00:00,0.661708,0.80261,583,566,1705,774,205593.17870989602
2003-07-15 00:00:00,0.6795140000000001,0.8361299999999999,545,573,1749,755,205264.91750639075
2003-07-22 00:00:00,0.633071,0.7924359999999999,501,511,1615,679,201757.39446282064
2003-07-29 00:00:00,0.569894,0.683588,470,404,1331,658,194372.5564364978
2003-08-05 00:00:00,0.591357,0.757452,435,491,1394,629,187854.00948462225
2003-08-12 00:00:00,0.589044,0.7885850000000001,449,443,1327,599,176024.3810142552
2003-08-19 00:00:00,0.6786399999999999,0.812171,451,380,1262,553,170877.09767312673
2003-08-26 00:00:00,0.637558,0.804463,375,349,1070,463,154706.82679533024
2003-09-02 00:00:00,0.8133090000000001,0.8777010000000001,391,308,1061,452,146342.87799712247
2003-09-09 00:00:00,0.834551,0.741453,355,309,987,443,157198.99791206088
2003-09-16 00:00:00,0.616174,0.661022,307,240,851,426,155908.63288488478
2003-09-23 00:00:00,0.513286,0.715109,277,284,887,423,151056.4421765648
2003-09-30 00:00:00,0.351881,0.562241,238,183,698,408,152886.59455882292
2003-10-07 00:00:00,0.542621,0.786808,233,205,710,381,122395.59355523114
2003-10-14 00:00:00,0.581036,0.860658,249,280,836,378,127656.73422216179
