date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,213073.45734279876
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,222713.61824551685
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,228682.27353350373
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,243580.43935115653
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,259132.12970304152
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,265234.3561844283
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,259349.12813024924
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,259312.45295700527
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,224166.33609347805
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,278288.7810893963
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,270205.79021549923
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,251108.3654921336
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,179076.50868325526
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,205843.2205805835
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,269024.50112188846
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,265923.34810384637
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,269801.75678067387
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,281067.7208776764
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,279713.2336867991
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,287482.28868870897
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,274800.8794891479
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,275239.0002743267
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,261970.64585113313
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,253537.8117163845
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,229878.49420864094
2002-06-25 00:00:00,1.41293,1.22616,624,1016,2439,775,231934.69071057756
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,225238.3992427003
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,227140.61829183772
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,210203.34715262096
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,208606.58659230094
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,202771.33876261572
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,189426.60731443213
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,174620.39747915708
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,127705.7161023492
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,112912.57156110671
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,110811.9725742074
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,109617.92855503575
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,103578.45004273749
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122,124,441,322,102935.54834956439
2002-10-01 00:00:00,0.397421,0.4915069999999999,109,91,318,310,95916.23591031077
